node1,node2,route_distance,Heuristic distance
Agra,Raebareli,401,339
Agra,Gaya,871,748
Agra,Prayagraj,472,429
Agra,Bhopal,536,438
Agra,Una,610,504
Agra,Sarangarh,1002,804
Agra,Madhepura,970,840
Agra,Daudnagar,800,681
Agra,Belagavi,1561,1305
Agra,Hanamkonda,1257,1027
Agra,Sitamarhi,887,747
Agra,Morena,82,75
Agra,Agra,0,0
Agra,Sitapur,326,267
Agra,Delhi,227,191
Agra,Faridabad,178,152
Agra,Pakur,1218,1025
Agra,Ghazipur,677,582
Agra,Jaipur,239,222
Agra,Durgapur,1104,1019
Agra,Chitrakoot,426,361
Agra,Rohtas,728,644
Agra,Araria,1098,947
Agra,Calicut,2233,1777
Agra,Bhagalpur,1070,921
Agra,Balaghat,793,633
Aligarh,Lucknow,333,305
Aligarh,Kota,446,370
Aligarh,Sikar,358,292
Aligarh,Prayagraj,501,462
Aligarh,Bhopal,630,518
Aligarh,Una,505,433
Aligarh,Bundi,453,365
Aligarh,Lakhimpur,328,264
Aligarh,Madhepura,973,844
Aligarh,Daudnagar,803,704
Aligarh,Belagavi,1660,1384
Aligarh,Hanamkonda,1350,1105
Aligarh,Morena,175,155
Aligarh,Sitapur,306,258
Aligarh,Delhi,163,131
Aligarh,Faridabad,117,94
Aligarh,Jodhpur,615,534
Aligarh,Mahoba,444,339
Aligarh,Sagar,514,454
Aligarh,Baghpat,165,143
Aligarh,Nawada,934,815
Aligarh,Mirzapur,597,541
Aligarh,Ghazipur,680,603
Aligarh,Jaipur,284,252
Aligarh,Durgapur,1133,1044
Aligarh,Aligarh,0,0
Aligarh,Rohtas,773,668
Aligarh,Palamu,916,751
Aligarh,Calicut,2326,1857
Aligarh,Jehanabad,875,748
Aligarh,Sri Ganganagar,588,467
Aligarh,Balaghat,886,706
Araria,Agra,1098,947
Araria,Rajsamand,1635,1367
Araria,Raebareli,731,619
Araria,Patna,313,239
Araria,Gaya,396,287
Araria,Kota,1396,1167
Araria,Prayagraj,673,567
Araria,Bhopal,1294,1064
Araria,Una,1617,1240
Araria,Bundi,1428,1186
Araria,Sarangarh,962,672
Araria,Lakhimpur,830,691
Araria,Arrah,355,286
Araria,Daudnagar,417,330
Araria,Belagavi,2176,1761
Araria,Hanamkonda,1647,1213
Araria,Sitamarhi,238,201
Araria,Morena,1113,945
Araria,Sitapur,853,691
Araria,Jodhpur,1665,1441
Araria,Mahoba,911,764
Araria,Pakur,236,170
Araria,Bikaner,1666,1417
Araria,Ghazipur,470,393
Araria,Jaipur,1334,1165
Araria,Chitrakoot,799,669
Araria,Rohtas,449,364
Araria,Palamu,573,422
Araria,Araria,0,0
Araria,Jehanabad,362,267
Araria,Bhagalpur,137,110
Araria,Sri Ganganagar,1716,1397
Arrah,Araria,355,286
Arrah,Lucknow,452,398
Arrah,Rajsamand,1325,1086
Arrah,Gaya,130,90
Arrah,Kota,1086,886
Arrah,Una,1307,1050
Arrah,Bundi,1118,906
Arrah,Sarangarh,639,468
Arrah,Madhepura,224,185
Arrah,Arrah,0,0
Arrah,Daudnagar,87,63
Arrah,Hanamkonda,1321,988
Arrah,Morena,802,675
Arrah,Delhi,964,826
Arrah,Faridabad,961,794
Arrah,Jodhpur,1354,1168
Arrah,Pakur,432,336
Arrah,Baghpat,967,826
Arrah,Nawada,155,115
Arrah,Bikaner,1356,1161
Arrah,Mirzapur,242,216
Arrah,Ghazipur,122,109
Arrah,Jaipur,1024,899
Arrah,Chitrakoot,445,384
Arrah,Rohtas,94,84
Arrah,Palamu,247,198
Arrah,Calicut,2328,1838
Arrah,Jehanabad,80,49
Arrah,Sri Ganganagar,1406,1167
Baghpat,Aligarh,165,143
Baghpat,Arrah,967,826
